Timestamp,Sensor Type,Value1,Value2,Value3
1777036815334,2,-26.9250,12.1500,38.4000
1777036815337,1,9.7436,3.5623,-1.9283
1777036815337,1,9.3661,3.7496,-1.9555
1777036815337,1,8.0692,3.8581,-1.5975
1777036815338,1,6.6012,4.0298,-1.6050
1777036815377,9,8.4942,4.4980,-1.9461
1777036815386,4,-3.3824,2.7188,2.3978
1777036815405,1,6.7869,3.8620,-0.9084
1777036815405,1,7.9863,3.8174,0.7510
1777036815405,1,10.0208,3.6105,2.0527
1777036815405,2,-32.7000,8.1000,34.2750
1777036815409,5,0.0000,38.6125,-145.0000
1777036815447,9,9.3101,2.9578,0.8627
1777036815456,4,-2.9120,2.0268,1.7787
1777036815469,1,12.5273,3.2049,3.4421
1777036815470,1,15.4176,3.2647,5.5783
1777036815470,1,17.8220,3.8145,8.3749
1777036815473,2,-36.0000,6.5250,29.6250
1777036815516,9,9.0832,2.6452,2.5824
1777036815525,4,0.6228,0.2098,-0.3795
1777036815537,1,17.5011,4.0693,11.0931
1777036815537,1,13.9669,3.9284,10.7303
1777036815537,1,10.9044,3.8001,7.4420
1777036815537,1,9.9694,3.3314,4.1507
1777036815543,2,-38.2500,5.2500,26.7000
1777036815568,5,0.0000,38.8250,-138.0000
1777036815585,9,9.0397,3.0746,2.2365
1777036815596,4,0.0799,-0.1353,-0.6032
1777036815603,1,9.4307,3.0494,2.1173
1777036815604,1,8.7233,2.8711,0.8797
1777036815604,1,7.9035,2.7790,0.7253
1777036815612,2,-38.2500,5.0250,29.4750
1777036815656,9,8.9495,3.2409,2.3606
1777036815663,4,-0.1283,0.4061,-0.0493
1777036815670,1,7.5727,2.7775,1.5341
1777036815671,1,7.7683,2.9058,2.1126
1777036815671,1,8.6510,2.9321,2.4114
1777036815681,2,-38.8500,4.4250,28.8000
1777036815698,1,9.2521,2.9644,2.2184
1777036815698,1,9.4256,2.9677,2.1586
1777036815719,1,9.0347,2.9518,2.6288
1777036815726,9,8.8490,3.2364,2.7187
1777036815729,5,0.0000,38.8500,-139.0000
1777036815733,4,0.0128,0.5211,-0.1081
1777036815750,2,-39.7500,3.3750,27.3000
1777036815786,1,8.3892,2.9611,2.8774
1777036815786,1,8.0082,3.0197,2.6964
1777036815786,1,7.9585,3.0748,2.3318
1777036815795,9,8.8119,3.2751,2.7920
1777036815803,4,0.1701,-0.0684,0.0935
1777036815830,2,-40.5750,3.9750,26.1750
1777036815853,1,7.8730,3.1340,1.9866
1777036815854,1,7.7955,3.1926,2.1440
1777036815854,1,7.7946,3.2755,2.0378
1777036815864,9,8.8715,3.2233,2.6602
1777036815871,4,0.0502,-0.0348,0.3163
1777036815888,5,0.0000,38.8250,-142.0000
1777036815897,2,-39.9750,5.1000,26.7750
1777036815919,1,8.1069,3.3637,2.0064
1777036815919,1,8.7541,3.4095,1.7435
1777036815919,1,9.2142,3.4923,2.0267
1777036815919,1,9.3503,3.4968,2.2974
1777036815932,9,8.9272,3.0862,2.6363
1777036815941,4,-0.1127,0.0695,0.1720
1777036815967,2,-40.2750,5.0250,26.9250
1777036815986,1,9.5306,3.5025,2.5585
1777036815986,1,9.6951,3.4768,2.4852
1777036815987,1,9.7026,3.4131,2.5026
1777036816001,9,8.9273,3.0423,2.6866
1777036816011,4,-0.0773,0.0748,-0.0244
1777036816037,2,-39.6750,5.7000,26.0250
1777036816049,5,0.0000,38.8250,-139.0000
1777036816053,1,9.4765,3.3900,2.7275
1777036816053,1,9.2997,3.3084,2.9952
1777036816053,1,9.1971,3.1980,2.8935
1777036816073,9,8.9018,3.0732,2.7357
1777036816088,4,-0.1155,0.0837,-0.0580
1777036816108,2,-39.4500,4.9500,23.6250
1777036816119,1,8.9504,3.1187,2.4846
1777036816120,1,8.8448,3.0577,2.7350
1777036816120,1,8.7939,3.0033,3.0027
1777036816120,1,8.7069,2.9581,3.4056
1777036816140,9,8.8628,3.0881,2.8435
1777036816161,4,0.1278,0.0214,0.0449
1777036816176,2,-40.4250,5.1000,25.8750
1777036816186,1,8.4039,2.9145,3.4848
1777036816186,1,8.3925,2.8729,3.0963
1777036816186,1,8.7461,2.9369,2.7565
1777036816209,5,0.0000,38.8500,-139.0000
1777036816212,9,8.8651,3.0662,2.8599
1777036816227,4,0.1231,0.0809,0.0525
1777036816246,2,-40.2000,5.3250,25.1250
1777036816253,1,8.8319,3.0392,2.9483
1777036816253,1,8.7117,3.1307,3.0287
1777036816253,1,8.5714,3.2040,2.9752
1777036816279,9,8.8621,3.0712,2.8636
1777036816297,4,0.1620,-0.0173,0.1135
1777036816314,2,-40.8750,6.0000,25.5000
1777036816319,1,8.5152,3.2085,2.9827
1777036816319,1,8.5636,3.2133,2.6501
1777036816319,1,8.8268,3.1448,2.4392
1777036816319,1,9.0823,3.1463,2.2534
1777036816349,9,8.8881,3.0530,2.8019
1777036816366,4,-0.0235,0.1393,0.0344
1777036816368,5,0.0000,38.8250,-137.0000
1777036816383,2,-40.8000,6.2250,25.7250
1777036816386,1,9.1588,3.1801,2.1715
1777036816386,1,9.1693,3.1810,2.3994
1777036816386,1,9.1122,3.1890,2.8017
1777036816418,9,8.8653,3.0595,2.8665
1777036816435,4,0.2207,-0.0087,-0.0159
1777036816453,1,9.1128,3.1579,3.2985
1777036816453,1,8.9994,3.1603,3.3365
1777036816453,1,8.9130,3.1370,3.0042
1777036816453,1,8.8576,3.2022,2.5331
1777036816453,2,-41.1750,6.2250,24.9750
1777036816488,9,8.8604,3.1245,2.8110
1777036816508,4,0.0426,0.0915,-0.0347
1777036816519,1,8.7724,3.2079,2.4508
1777036816520,1,8.6791,3.2001,2.4826
1777036816520,1,8.7132,3.1929,2.5869
1777036816523,2,-41.1000,6.6750,24.6750
1777036816528,5,0.0000,38.7375,-141.0000
1777036816559,9,8.8371,3.1548,2.8502
1777036816574,4,0.0519,0.0457,-0.0189
1777036816586,1,8.7571,3.1917,2.7069
1777036816586,1,8.7601,3.1744,2.7308
1777036816586,1,8.8035,3.1104,2.7523
1777036816593,2,-41.1000,6.3750,25.2750
1777036816626,9,8.8491,3.1650,2.8012
1777036816644,4,-0.0583,0.0189,-0.0241
1777036816653,1,8.8684,3.0440,2.5056
1777036816653,1,8.8430,2.9596,2.2376
1777036816653,1,8.7751,2.9234,2.2445
1777036816653,1,8.6596,2.9049,2.3892
1777036816661,2,-40.3500,6.9000,23.7750
1777036816689,5,0.0000,38.7875,-141.0000
1777036816696,9,8.8610,3.1429,2.7885
1777036816713,4,-0.0959,-0.0936,0.0241
1777036816720,1,8.5642,2.9166,2.5487
1777036816720,1,8.5696,2.9527,2.5155
1777036816720,1,8.5202,2.9779,2.4541
1777036816731,2,-41.0250,6.0750,24.9750
1777036816766,9,8.8837,3.0930,2.7718
1777036816782,4,-0.0655,-0.0267,0.1377
1777036816785,1,8.4090,3.0458,2.4583
1777036816785,1,8.3788,3.1322,2.9279
1777036816785,1,8.6498,3.1472,3.1002
1777036816809,2,-40.5750,6.4500,23.2500
1777036816834,9,8.8904,3.0064,2.8447
1777036816848,5,0.0000,38.8500,-141.0000
1777036816851,4,-0.1387,0.1897,0.1420
1777036816853,1,8.8418,3.1720,2.9309
1777036816853,1,8.8376,3.1481,2.6447
1777036816853,1,8.8116,3.1011,3.0631
1777036816853,1,8.7942,3.0254,3.3455
1777036816878,2,-40.7250,6.4500,24.1500
1777036816904,9,8.8647,2.8973,3.0321
1777036816919,1,8.7867,2.9324,3.2572
1777036816919,1,8.7814,2.8648,3.3197
1777036816919,1,8.6868,2.8041,3.0479
1777036816921,4,-0.1248,0.3839,0.1535
1777036816947,2,-41.7000,6.5250,24.7500
1777036816974,9,8.7839,2.7469,3.3864
1777036816988,1,8.7182,2.7326,2.8702
1777036816988,1,8.6856,2.6384,2.9486
1777036816988,1,8.6013,2.5896,3.4005
1777036816992,4,-0.2170,0.8384,0.2298
1777036817008,5,0.0000,38.7625,-137.0000
1777036817016,2,-42.5250,7.0500,22.2750
1777036817042,9,8.6009,2.5279,3.9756
1777036817053,1,8.5729,2.5199,3.5722
