Timestamp,Sensor Type,Value1,Value2,Value3
1777292102368,9,2.8559,3.8892,8.5375
1777292102377,2,24.9750,-29.8500,-24.4500
1777292102396,1,3.1738,3.8082,7.8138
1777292102396,1,2.4165,3.4989,8.1033
1777292102396,1,2.4805,3.1648,8.2878
1777292102396,1,1.5024,4.0098,7.1300
1777292102428,4,-0.0776,-0.8670,0.0571
1777292102431,5,2167.0701,2165.8501,57118.0000
1777292102437,9,3.2507,3.9763,8.3542
1777292102446,2,24.3000,-30.0000,-24.3750
1777292102464,1,2.1550,3.0494,5.2433
1777292102464,1,3.2539,2.8819,4.5449
1777292102464,1,3.3846,2.5250,3.9449
1777292102497,4,0.0612,0.3514,-0.5890
1777292102506,9,3.2423,4.1292,8.2830
1777292102529,2,24.3750,-28.9500,-25.3500
1777292102530,1,3.1373,2.2920,3.6027
1777292102530,1,2.9512,3.1167,4.5290
1777292102530,1,2.7371,3.9194,5.3803
1777292102568,4,0.0496,0.0861,-0.6222
1777292102576,9,2.9064,4.4898,8.2198
1777292102594,5,2191.3301,2188.2876,57889.0000
1777292102595,2,26.8500,-28.4250,-25.1250
1777292102597,1,2.0043,4.2203,4.7719
1777292102597,1,1.3591,4.2000,4.4608
1777292102597,1,0.9353,4.2613,4.9893
1777292102597,1,0.3353,4.4237,5.4811
1777292102636,4,0.1784,-2.1612,0.9006
1777292102645,9,3.5080,4.5319,7.9578
1777292102663,2,24.7500,-28.3500,-29.0250
1777292102664,1,0.1783,4.3478,6.1558
1777292102664,1,-0.0000,3.9966,6.3694
1777292102664,1,1.4312,0.7487,5.4957
1777292102706,4,0.2934,-3.6705,2.4433
1777292102715,9,5.2031,3.9395,7.3197
1777292102730,1,1.5081,1.7225,6.5468
1777292102730,1,1.3400,1.4052,6.6820
1777292102730,1,1.9887,0.5560,5.3608
1777292102732,2,14.7750,-30.6000,-27.4500
1777292102750,1,2.8576,-1.4067,4.8260
1777292102750,1,2.2564,-3.2824,4.7486
1777292102752,5,2190.3401,2189.2500,60809.0000
1777292102785,9,7.6356,1.0822,6.0578
1777292102785,4,-0.6997,-3.4092,5.0873
1777292102802,2,-1.9500,-32.7750,-31.3500
1777292102815,1,2.1443,-6.1911,4.4581
1777292102815,1,5.0533,-8.6716,4.6917
1777292102815,1,8.9596,-10.8093,5.1470
1777292102854,9,7.7904,-4.0667,4.3523
1777292102854,4,-1.3216,-2.1739,6.7785
1777292102871,2,-20.4750,-25.6500,-32.2500
1777292102881,1,9.8073,-12.6876,4.5826
1777292102881,1,7.9089,-14.3776,6.5073
1777292102881,1,5.6486,-16.9588,9.2231
1777292102911,5,1693.4399,1736.4000,49342.0000
1777292102923,9,4.9356,-7.8910,3.0892
1777292102923,4,2.2842,-4.9897,8.6162
1777292102940,2,-39.3750,-8.4750,-22.6500
1777292102948,1,6.0218,-18.9987,9.5910
1777292102948,1,9.0030,-19.5568,7.7722
1777292102948,1,13.4770,-18.3951,4.5595
1777292102992,9,4.1003,-8.1584,3.5774
1777292102993,4,3.3822,-2.4143,3.7267
1777292103010,2,-46.2000,4.8750,-10.8000
1777292103014,1,19.2183,-16.1243,2.7093
1777292103014,1,24.4938,-11.0991,2.0318
1777292103014,1,27.4191,-8.6886,-0.3066
1777292103014,1,26.9172,-6.7469,-1.2338
1777292103062,9,5.8049,-6.6265,4.3084
