Timestamp,Sensor Type,Value1,Value2,Value3
1777195548320,1,-1.8724,5.1395,9.8602
1777195548320,1,-2.3091,4.9397,11.3438
1777195548320,1,-2.6201,4.3307,12.2925
1777195548320,1,-2.2361,3.5375,12.7053
1777195548320,1,-1.5649,2.7778,12.2985
1777195548339,9,-1.4743,3.6210,8.9936
1777195548339,4,-0.3076,-1.4596,0.0195
1777195548352,2,44.2500,12.9750,-32.5500
1777195548366,5,21328.9004,22347.4375,110784.0000
1777195548406,9,-0.7452,3.0863,9.2785
1777195548406,4,0.7969,-0.2514,0.2578
1777195548416,2,40.0500,13.3500,-33.8250
1777195548416,1,-1.4692,2.4739,11.6489
1777195548416,1,-1.3878,2.8256,10.4788
1777195548416,1,-1.3723,3.3389,8.8875
1777195548416,1,-1.6869,3.3688,8.0058
1777195548416,1,-2.0315,3.0302,8.3755
1777195548474,4,0.9300,-0.1243,0.2822
1777195548474,9,-0.4293,3.4672,9.1632
1777195548483,2,38.7750,10.9500,-35.8500
1777195548512,1,-2.0315,2.9632,8.2642
1777195548512,1,-1.8999,2.8244,7.5691
1777195548513,1,-1.2790,2.7706,6.2842
1777195548513,1,-1.4261,3.3473,6.5294
1777195548513,1,-1.9717,3.8904,6.8883
1777195548526,5,48293.6602,50497.6758,239200.0000
1777195548539,9,-0.4736,4.0094,8.9371
1777195548539,4,0.6283,-0.5397,0.3152
1777195548552,2,38.3250,8.2500,-37.2000
1777195548607,9,-0.2664,4.4334,8.7433
1777195548607,1,-0.6951,3.7062,6.0030
1777195548607,1,0.4977,3.4621,4.5781
1777195548607,1,0.1137,4.2147,4.3771
1777195548607,1,-1.1103,5.5271,6.4337
1777195548607,1,-1.2670,5.3644,7.9496
1777195548607,4,0.1384,-0.2269,0.4765
1777195548616,2,37.4250,7.2750,-37.3500
1777195548674,4,0.3179,-0.3124,0.0342
1777195548675,9,-0.1231,4.6583,8.6288
1777195548683,2,36.5250,6.3000,-38.5500
1777195548686,5,48293.7617,50497.6758,239200.0000
1777195548703,1,-0.0909,4.1692,8.0106
1777195548703,1,0.7286,4.0173,6.7651
1777195548703,1,0.4642,4.7243,6.5629
1777195548703,1,-0.2142,5.5953,7.4877
1777195548704,1,-0.1819,5.8848,7.2915
1777195548740,4,0.2349,-0.2220,0.1662
1777195548740,9,0.1883,4.9058,8.4893
1777195548752,2,36.0000,4.6500,-39.1500
1777195548798,1,0.4654,5.7592,6.2172
1777195548798,1,0.8961,5.5606,5.8881
1777195548798,1,1.0756,5.3824,6.2279
1777195548798,1,0.2166,6.0212,7.0044
1777195548798,1,-0.0227,6.4113,7.0929
1777195548807,9,0.4229,5.2508,8.2717
1777195548807,4,0.0284,-0.0095,0.2028
1777195548816,2,35.4750,4.0500,-39.7500
1777195548846,5,48293.8398,50497.6758,239200.0000
1777195548850,1,0.5515,5.7867,6.9757
1777195548850,1,1.3747,5.0785,7.3262
1777195548874,4,-0.2831,0.1041,-0.2847
1777195548874,9,0.4508,5.4165,8.1626
1777195548883,2,35.1000,4.6500,-39.6000
1777195548931,1,2.1416,5.0773,7.0618
1777195548931,1,2.0877,5.0115,7.0391
1777195548931,1,1.1557,6.0835,6.5880
1777195548931,1,0.2572,6.3921,6.2710
1777195548931,1,0.0299,4.7710,8.2068
1777195548939,4,-1.5366,1.1586,0.2908
1777195548940,9,0.5715,5.3376,8.2069
1777195548952,2,35.7000,5.7750,-39.1500
1777195549006,5,48293.8398,50497.6758,239200.0000
1777195549006,9,0.1536,4.8638,8.5141
1777195549007,4,-1.0760,0.2643,-0.2724
1777195549016,2,38.6250,8.8500,-34.9500
1777195549026,1,0.4678,2.7407,10.3400
1777195549026,1,0.5049,1.8912,11.5926
1777195549026,1,0.0873,2.4224,12.9996
1777195549026,1,0.7789,1.8362,12.5773
1777195549026,1,1.1366,1.6472,11.8522
1777195549074,4,-0.3479,-0.3479,-0.5705
1777195549074,9,-0.2018,3.8031,9.0369
1777195549092,2,38.6250,12.0000,-32.8500
1777195549092,1,0.8578,2.1329,12.0927
1777195549092,1,0.5922,2.4488,12.5342
1777195549092,1,1.0062,2.1221,11.5280
1777195549140,9,-0.1636,3.2114,9.2645
1777195549141,4,0.1579,-0.1304,-0.3763
1777195549153,2,37.2750,14.4000,-32.9250
1777195549165,5,48293.8398,50497.6758,239200.0000
1777195549179,1,0.9272,2.5301,10.4740
1777195549179,1,0.3589,3.4202,9.7681
1777195549179,1,0.2752,3.6224,9.5719
1777195549179,1,0.4750,3.0541,9.8243
1777195549179,1,0.8183,2.8448,8.6901
1777195549207,9,-0.0219,3.1886,9.2738
1777195549208,4,-0.1268,-0.3491,-0.3042
1777195549217,2,35.3250,14.8500,-33.3000
1777195549276,9,0.1968,3.2116,9.2638
1777195549276,4,0.0357,-0.2159,-0.1466
1777195549276,1,0.8746,2.8615,7.8156
1777195549276,1,0.9153,2.8424,7.6552
1777195549276,1,0.5384,3.0805,8.2929
1777195549276,1,0.3051,3.1116,9.0168
1777195549276,1,0.5683,2.7263,8.6830
1777195549284,2,33.3750,16.3500,-34.3500
1777195549327,5,48293.8398,50497.6758,239200.0000
1777195549342,9,0.2875,3.1524,9.2817
1777195549342,4,-0.0058,0.0932,-0.3506
1777195549352,2,32.4750,15.7500,-34.9500
1777195549370,1,0.8495,2.5899,7.8514
1777195549370,1,0.7932,2.7574,7.3992
1777195549370,1,0.5647,2.8783,7.5906
1777195549370,1,0.2058,3.1068,8.1661
1777195549370,1,0.0610,3.4609,8.2534
1777195549411,4,0.1640,-0.0388,-0.2065
1777195549411,9,0.2935,3.1897,9.2688
1777195549417,2,32.1000,16.3500,-35.2500
1777195549467,1,0.2776,3.3688,8.2786
1777195549467,1,0.5731,3.0577,8.0812
1777195549467,1,0.8327,3.0637,7.7246
1777195549467,1,1.0086,3.3365,6.4528
1777195549467,1,0.7801,3.8557,5.6955
1777195549475,9,0.2441,3.3149,9.2262
1777195549475,4,0.0712,0.5136,-0.2541
1777195549484,2,32.4750,16.5750,-36.2250
1777195549486,5,48293.7617,50497.6758,239200.0000
1777195549542,9,0.1151,3.5677,9.1339
1777195549542,1,0.6341,3.9574,6.7256
1777195549543,1,0.6544,3.5961,7.5392
1777195549543,1,0.5803,3.2049,7.0726
1777195549543,1,0.0658,3.3736,5.6572
1777195549543,4,0.5391,0.9546,-0.3482
1777195549552,2,33.8250,17.1750,-35.5500
1777195549600,1,-0.5910,3.4549,4.6522
1777195549601,1,-1.3220,3.0733,5.8403
1777195549601,1,-1.0457,2.4954,6.8895
1777195549608,9,-0.3265,3.8159,9.0279
1777195549608,4,0.2214,1.4225,-0.5656
1777195549618,2,35.2500,17.5500,-34.0500
1777195549648,5,48293.7617,50497.6758,239200.0000
1777195549652,1,-0.5109,1.3768,6.1729
1777195549652,1,-0.5862,-0.1164,2.1302
1777195549675,9,-1.3329,3.8555,8.9179
1777195549676,4,1.5958,4.7932,-1.8753
1777195549685,2,38.7750,18.9000,-31.3500
1777195549714,1,-0.8794,-0.2228,-2.3085
1777195549714,1,-2.2540,-0.1738,-2.7535
1777195549714,1,-4.1611,-1.2170,-2.3468
1777195549714,1,-7.0947,-2.2184,-2.2104
1777195549733,1,-10.9771,-2.8513,0.9470
1777195549742,9,-3.7835,4.4524,7.8760
1777195549742,4,1.1182,7.3772,-3.1837
1777195549752,2,43.3500,21.0000,-21.4500
1777195549806,5,48293.7617,50497.6758,239200.0000
1777195549808,9,-8.1674,3.3354,4.2824
1777195549808,4,1.3943,3.8402,-3.7592
1777195549818,2,45.4500,27.3000,-6.1500
1777195549828,1,-12.0933,-3.1959,4.6499
1777195549828,1,-13.1701,-3.7343,4.6128
1777195549828,1,-15.7424,-3.2916,3.7597
1777195549828,1,-17.3312,-1.5927,3.4140
1777195549828,1,-15.5821,-1.7925,2.2654
1777195549876,9,-9.6718,0.6484,1.4850
1777195549876,4,0.6747,2.2203,-4.4555
1777195549886,2,39.8250,37.2750,3.6000
1777195549924,1,-15.0449,-4.3421,0.1382
1777195549924,1,-16.9855,-4.6998,0.0054
1777195549924,1,-18.5073,-3.1636,0.8788
1777195549924,1,-17.9414,-2.7497,1.2664
1777195549924,1,-17.2798,-2.2950,0.4899
1777195549943,4,-0.6105,0.2521,-3.1740
1777195549943,9,-9.6019,-1.9934,0.0294
1777195549952,2,25.3500,44.4750,5.2500
1777195549966,5,9848.9902,10342.6504,59936.0000
1777195550010,4,-2.2806,-1.0699,-2.4715
1777195550010,9,-9.0691,-3.7113,-0.3857
1777195550019,1,-15.7185,-2.1885,-0.0209
1777195550019,1,-14.4826,-2.9219,0.3930
1777195550019,1,-14.0483,-3.0918,0.9182
1777195550019,1,-14.0770,-2.5175,1.2126
1777195550019,1,-13.8006,-1.9780,1.2736
1777195550021,2,14.3250,48.6000,9.2250
1777195550077,4,-1.7589,-0.2184,-1.1411
1777195550077,9,-8.5752,-4.7439,-0.3634
1777195550086,2,8.4000,48.4500,15.9000
1777195550115,1,-13.1258,-1.6980,1.4411
1777195550115,1,-12.3769,-1.4133,1.7139
1777195550115,1,-11.7763,-1.2326,2.2714
