Timestamp,Sensor Type,Value1,Value2,Value3
1777017332770,1,0.0706,0.0413,9.8907
1777017332770,9,0.0620,0.0438,9.8064
1777017332770,2,23.6250,27.1500,-24.8250
1777017332785,5,20.3900,172.3625,650.0000
1777017332832,4,-0.0006,-0.0006,-0.0008
1777017332840,9,0.0632,0.0436,9.8063
1777017332840,1,0.0550,0.0410,9.8883
1777017332848,2,23.0250,27.3750,-22.8750
1777017332900,4,0.0006,-0.0005,-0.0008
1777017332909,1,0.0682,0.0413,9.8883
1777017332910,9,0.0623,0.0430,9.8064
1777017332918,2,23.1750,27.1500,-23.1750
1777017332946,5,20.1200,172.0875,650.0000
1777017332980,1,0.0604,0.0422,9.8839
1777017332980,9,0.0631,0.0430,9.8064
1777017332981,4,-0.0006,-0.0006,0.0005
1777017332987,2,23.2500,27.0750,-23.0250
1777017333051,1,0.0529,0.0413,9.8898
1777017333052,4,-0.0006,-0.0006,-0.0008
1777017333052,9,0.0631,0.0425,9.8064
1777017333057,2,23.2500,27.3750,-22.7250
1777017333106,5,20.5700,172.4500,653.0000
1777017333117,9,0.0621,0.0422,9.8064
1777017333117,4,0.0006,-0.0003,-0.0008
1777017333118,1,0.0697,0.0473,9.8898
1777017333126,2,23.3250,27.0750,-22.9500
1777017333188,4,0.0006,0.0006,0.0002
1777017333188,9,0.0629,0.0430,9.8064
1777017333189,1,0.0685,0.0455,9.8898
1777017333195,2,23.7000,27.5250,-24.3750
1777017333257,9,0.0633,0.0436,9.8063
1777017333257,1,0.0643,0.0401,9.8880
1777017333257,4,0.0002,0.0006,0.0005
1777017333265,2,23.1750,27.3000,-23.1000
1777017333265,5,20.1400,172.0875,644.0000
1777017333327,1,0.0652,0.0482,9.8886
1777017333327,4,-0.0006,0.0006,-0.0008
1777017333327,9,0.0629,0.0430,9.8064
1777017333334,2,23.1750,26.7750,-22.6500
1777017333397,1,0.0556,0.0386,9.8848
1777017333398,9,0.0628,0.0433,9.8064
1777017333398,4,0.0006,0.0006,-0.0000
1777017333403,2,23.7750,27.3000,-24.0000
1777017333428,5,20.4400,172.3250,648.0000
1777017333464,1,0.0491,0.0398,9.8871
1777017333465,9,0.0618,0.0429,9.8064
1777017333465,4,0.0006,-0.0006,0.0005
1777017333473,2,24.3000,27.1500,-23.6250
1777017333539,1,0.0694,0.0520,9.8922
1777017333539,9,0.0607,0.0429,9.8064
1777017333540,4,-0.0006,-0.0006,0.0005
1777017333542,2,23.1000,26.8500,-22.5750
1777017333586,5,20.1800,172.0875,644.0000
1777017333604,1,0.0694,0.0440,9.8901
1777017333604,4,0.0002,0.0006,0.0000
1777017333604,9,0.0618,0.0435,9.8064
1777017333611,2,23.1000,27.6000,-22.6500
1777017333673,1,0.0556,0.0359,9.8871
1777017333674,9,0.0623,0.0434,9.8064
1777017333675,4,-0.0006,-0.0002,-0.0008
1777017333681,2,23.2500,27.0750,-23.2500
1777017333743,1,0.0586,0.0458,9.8910
1777017333743,9,0.0617,0.0424,9.8064
1777017333744,4,0.0006,-0.0003,0.0005
1777017333745,5,20.1200,172.0875,644.0000
1777017333752,2,23.3250,27.5250,-23.0250
1777017333812,9,0.0612,0.0429,9.8064
1777017333812,4,-0.0006,-0.0006,-0.0006
1777017333812,1,0.0658,0.0461,9.8943
1777017333830,2,23.2500,27.1500,-23.1750
1777017333883,1,0.0562,0.0431,9.8886
1777017333884,9,0.0619,0.0427,9.8064
1777017333884,4,0.0005,-0.0006,0.0005
1777017333899,2,23.1750,27.4500,-22.9500
1777017333905,5,20.5000,172.3875,649.0000
1777017333952,9,0.0615,0.0425,9.8064
1777017333952,1,0.0646,0.0470,9.8904
1777017333958,4,-0.0006,0.0006,-0.0008
1777017333968,2,23.3250,27.6750,-22.1250
1777017334020,9,0.0619,0.0426,9.8064
