Timestamp,Sensor Type,Value1,Value2,Value3
1777036449625,4,1.9172,0.0849,-1.2857
1777036449642,2,-47.9250,-8.8500,12.3750
1777036449650,9,4.8218,8.5131,0.6693
1777036449681,1,-0.1298,1.4818,-1.0507
1777036449681,1,-5.0608,5.4984,-1.7620
1777036449681,1,-5.0498,5.3859,-0.3520
1777036449693,4,-0.8234,0.7566,3.4810
1777036449711,2,-48.7500,-3.4500,9.0750
1777036449713,5,0.0000,38.7375,-117.0000
1777036449720,9,6.5282,7.1485,1.5657
1777036449748,1,-2.1945,4.1052,1.9436
1777036449749,1,4.7174,1.2601,4.6708
1777036449750,1,10.2996,-1.4070,5.4287
1777036449750,1,7.7689,-1.5182,2.2762
1777036449763,4,0.0777,-0.9168,4.1907
1777036449782,2,-47.8500,8.8500,10.5000
1777036449788,9,8.7587,4.3210,0.8862
1777036449814,1,5.8819,-2.0297,-3.3305
1777036449814,1,9.4017,-2.7936,-5.3073
1777036449815,1,10.7976,-2.4861,-4.0854
1777036449833,4,-1.7794,0.1576,3.6618
1777036449859,2,-43.4250,22.6500,13.6500
1777036449859,9,9.5981,1.6333,1.1744
1777036449874,5,0.0000,39.1500,-105.0000
1777036449881,1,8.0865,-1.0493,-1.4997
1777036449881,1,8.3955,1.3074,2.7452
1777036449881,1,13.9244,3.5501,3.4947
1777036449902,4,-0.7468,0.0988,1.6864
1777036449929,9,9.6859,1.0236,1.1430
1777036449929,2,-37.4250,29.1000,16.9500
1777036449949,1,17.1368,5.6270,1.1886
1777036449949,1,15.0529,7.1106,-0.7325
1777036449949,1,11.5720,7.8622,0.9790
1777036449949,1,11.7799,8.2681,3.5785
1777036449971,4,-0.5084,-0.5092,0.7065
1777036449997,9,9.6094,1.4836,1.2763
1777036449998,2,-34.7250,30.9750,18.6000
1777036450015,1,15.5934,9.2943,4.7207
1777036450015,1,20.0836,11.0650,4.9340
1777036450015,1,24.5770,11.0770,4.8610
1777036450035,5,0.2000,39.6250,-94.0000
1777036450041,4,-0.4762,0.2385,-1.9661
1777036450067,2,-36.6750,28.5000,18.3750
1777036450067,9,9.1640,3.0638,1.6744
1777036450081,1,21.9969,12.6945,4.9283
1777036450081,1,20.2720,11.8146,5.6411
1777036450082,1,20.5053,9.8713,6.0718
1777036450119,4,0.4132,1.3326,-3.3034
1777036450137,9,8.2496,4.7464,2.3636
1777036450137,2,-44.0250,19.9500,16.1250
1777036450148,1,18.6117,7.2165,6.0900
1777036450148,1,15.4651,4.7261,6.1642
1777036450148,1,10.6469,3.0930,5.1072
1777036450148,1,6.7519,2.0163,2.8313
1777036450188,4,1.5812,0.0099,-3.0384
1777036450194,5,0.0000,39.3250,-103.0000
1777036450206,9,7.2577,6.3775,1.6800
1777036450207,2,-46.9500,10.7250,10.5750
1777036450215,1,4.8479,0.9811,0.3700
1777036450216,1,5.0710,-0.1394,-2.0267
1777036450216,1,5.9270,-1.6977,-3.6188
1777036450257,4,0.6701,1.1072,-3.1901
1777036450275,2,-49.5750,-0.0000,10.0500
1777036450275,9,6.0656,7.5990,1.2783
1777036450283,1,5.2181,-3.2270,-4.5458
1777036450283,1,3.2506,-4.2215,-4.5479
1777036450283,1,1.4895,-4.1599,-4.0771
1777036450327,4,-0.7401,0.9504,-1.8431
1777036450345,2,-49.1250,-7.6500,6.4500
1777036450345,9,5.2780,8.0439,1.8997
1777036450348,1,1.9869,-3.4845,-3.9078
1777036450348,1,3.0894,-2.0270,-2.9058
1777036450348,1,4.1471,0.1977,0.4280
1777036450348,1,6.4851,1.9098,5.3943
1777036450354,5,0.0000,39.0875,-111.0000
1777036450396,4,2.5216,0.4221,-1.2388
1777036450417,2,-47.4750,-12.4500,3.3750
1777036450417,1,5.0800,4.1195,9.0951
1777036450417,1,-0.5686,7.0433,8.3258
1777036450417,1,-7.7486,9.1795,4.0014
1777036450417,9,3.7594,8.9028,1.6669
1777036450422,1,-13.1040,11.3943,-0.1068
1777036450456,1,-9.3538,10.3388,-0.2001
1777036450465,4,1.4149,-1.1661,4.8975
1777036450484,9,5.6230,8.0154,0.5538
1777036450485,2,-48.3750,-3.5250,6.1500
1777036450516,5,0.0000,39.2125,-110.0000
1777036450522,1,3.7887,5.1332,4.1964
1777036450522,1,7.7001,1.3313,5.0124
1777036450522,1,7.0433,-0.3891,-1.6947
1777036450534,4,0.4061,0.1121,5.2614
1777036450544,1,6.2498,0.2216,-10.7207
1777036450544,1,10.1737,-1.8610,-13.4578
1777036450552,9,8.4019,4.9089,-1.2172
1777036450553,2,-46.9500,15.4500,10.8750
1777036450572,1,12.4095,-4.0319,-4.9618
1777036450604,4,-2.7538,0.8690,3.4886
1777036450622,9,9.6202,1.7113,0.8334
1777036450622,2,-41.1000,27.6750,11.7750
1777036450638,1,17.2869,-4.6615,4.6394
1777036450638,1,17.8271,-2.5941,7.8105
1777036450638,1,13.8191,-0.3275,6.1442
1777036450674,5,0.0000,39.0250,-111.0000
1777036450674,4,-0.0133,-0.0220,1.4700
1777036450691,9,9.6353,0.7170,1.6784
1777036450692,2,-37.4250,33.0750,10.3500
1777036450705,1,10.0600,0.7663,4.5685
1777036450705,1,9.4340,1.7127,5.5454
1777036450705,1,10.9860,2.0058,5.3237
1777036450743,4,0.9635,-0.1281,0.2839
1777036450761,9,9.7024,0.9816,1.0347
1777036450761,2,-35.8500,35.1000,11.5500
1777036450771,1,11.7272,1.9086,1.9116
1777036450771,1,8.0106,2.5077,-1.0720
1777036450771,1,5.0614,3.7415,-2.1538
1777036450771,1,8.6103,6.5393,-3.8174
1777036450814,4,-2.8369,0.2239,-0.2938
1777036450831,9,9.7372,1.1495,0.1918
1777036450836,5,0.2600,39.6875,-94.0000
1777036450838,1,21.6733,6.5710,-5.1999
1777036450838,1,28.2198,5.7099,-6.3284
1777036450838,1,21.6380,7.7578,-2.9698
1777036450839,2,-32.6250,35.0250,17.7000
1777036450882,4,-0.3737,-1.2419,-0.8596
1777036450899,9,9.5095,2.0254,1.2793
1777036450905,1,18.2797,6.9374,6.8172
1777036450905,1,18.7834,7.3235,16.1351
1777036450905,1,20.8965,6.9027,13.5437
1777036450909,2,-34.4250,29.7000,21.6000
1777036450951,4,1.1107,0.8031,-2.6479
1777036450969,9,8.9851,3.8503,0.7836
1777036450972,1,18.9299,5.7503,4.5670
1777036450972,1,13.0570,5.1610,-1.9750
1777036450972,1,7.6774,4.4372,-4.7219
1777036450972,1,4.0373,4.0307,-4.3376
1777036450979,2,-39.0750,25.5000,18.2250
1777036450994,5,0.0000,39.1500,-110.0000
1777036451020,4,0.2837,0.7445,-2.9036
1777036451038,9,8.2136,5.3169,0.6622
1777036451038,1,3.8417,3.5692,-3.6203
1777036451038,1,6.8127,2.3976,-3.5070
1777036451038,1,6.8656,1.1560,-2.8657
1777036451046,2,-43.7250,19.1250,12.6000
1777036451091,4,0.7159,0.5273,-3.1246
1777036451106,1,5.2152,0.3849,-1.4683
1777036451107,1,5.0758,-0.5955,-0.4729
