Timestamp,Sensor Type,Value1,Value2,Value3
1777201137229,9,-6.3309,-7.1455,-2.2431
1777201137238,2,27.5250,-9.0750,32.1000
1777201137276,1,-12.2321,-3.6793,-2.7141
1777201137277,1,-11.9270,-3.4089,-2.8624
1777201137277,1,-11.7236,-3.3778,-3.1220
1777201137277,1,-11.8768,-3.5189,-3.1675
1777201137277,1,-12.0850,-3.6577,-2.9378
1777201137294,9,-5.8683,-7.5633,-2.1284
1777201137295,4,-0.4838,-0.3955,-1.4114
1777201137305,2,28.6500,-3.9750,32.4000
1777201137361,9,-5.8182,-7.5761,-2.2187
1777201137361,4,-0.7098,-0.9196,-0.6625
1777201137371,1,-12.2895,-3.7606,-2.5011
1777201137371,1,-12.4152,-3.5656,-2.0429
1777201137371,1,-13.1641,-3.7080,-2.4221
1777201137371,1,-13.8365,-4.2296,-2.6830
1777201137371,1,-14.0112,-4.1925,-2.8899
1777201137375,2,30.2250,-2.2500,31.9500
1777201137428,9,-6.2151,-7.2468,-2.2418
1777201137429,4,0.0012,-0.4297,0.7168
1777201137438,2,31.4250,-2.1750,30.5250
1777201137467,1,-14.2170,-3.9413,-2.5908
1777201137467,1,-13.5350,-2.5104,-1.6229
1777201137467,1,-12.5097,-0.8880,-0.8357
1777201137468,1,-12.0203,-0.3688,-0.6610
1777201137468,1,-11.5071,-1.1034,-1.1815
1777201137486,5,413.5100,477.7625,3127.0000
1777201137496,9,-7.0429,-6.4994,-2.0797
1777201137496,4,0.6147,-0.2868,2.7792
1777201137505,2,32.9250,-4.2000,29.4000
1777201137562,9,-8.2782,-4.9970,-1.6343
1777201137562,1,-10.8945,-2.5510,-1.8694
1777201137563,1,-10.6816,-4.2787,-2.3492
1777201137563,1,-10.5224,-5.8017,-2.4712
1777201137563,1,-10.3849,-6.7433,-2.4377
1777201137563,1,-10.1324,-7.1776,-2.3779
1777201137564,4,0.7491,0.5904,3.1030
1777201137573,2,31.9500,-8.8500,29.2500
1777201137629,9,-9.0057,-3.4972,-1.6843
1777201137629,4,0.3141,0.5293,2.5776
1777201137638,2,28.8750,-12.3000,31.0500
1777201137646,5,1486.3500,1608.1000,9384.0000
1777201137657,1,-9.9422,-7.3487,-2.2594
1777201137658,1,-9.8824,-7.2506,-2.0118
1777201137658,1,-9.7065,-6.9945,-1.6457
1777201137658,1,-9.3380,-6.7038,-1.4949
1777201137658,1,-8.9539,-6.4908,-1.5679
1777201137696,9,-9.3083,-2.3859,-1.9580
1777201137696,4,-0.6365,-0.5079,1.9619
1777201137706,2,25.3500,-15.9750,31.8000
1777201137754,1,-8.5280,-6.2970,-1.7761
1777201137754,1,-7.9860,-6.0087,-1.8562
1777201137754,1,-7.5218,-5.6940,-1.7749
1777201137754,1,-7.3508,-5.4763,-1.4746
1777201137754,1,-7.3304,-5.4009,-1.1408
1777201137762,9,-9.5082,-1.5463,-1.8368
1777201137763,4,-0.7306,-0.5067,1.4987
