Timestamp,Sensor Type,Value1,Value2,Value3
1777195547527,5,42782.2695,39805.9375,1279201.0000
1777195547542,4,-0.3360,-0.0576,0.0391
1777195547554,2,22.8000,24.9750,-33.5250
1777195547556,1,-0.6637,2.7526,9.1029
1777195547556,1,-0.8306,2.6079,8.5035
1777195547556,1,-0.7493,2.3877,8.2448
1777195547570,9,-0.3750,2.4243,9.4949
1777195547611,4,-0.0322,-0.2369,-0.1735
1777195547620,2,23.4750,26.1000,-39.6750
1777195547622,1,-0.5593,2.1305,9.2474
1777195547622,1,-0.5614,2.0919,10.6624
1777195547622,1,-0.3269,2.2164,10.5212
1777195547622,1,-0.2943,2.3049,9.7843
1777195547639,9,-0.2526,2.3138,9.5264
1777195547681,4,-0.1831,-0.2836,-0.2144
1777195547685,5,46571.6797,43294.9648,1380719.0000
1777195547690,1,-0.1926,2.2552,9.5668
1777195547690,1,-0.1035,2.2822,9.9867
1777195547690,1,-0.1211,2.5259,10.5912
1777195547690,2,23.8500,26.4750,-40.5750
1777195547707,9,-0.1060,2.2114,9.5535
1777195547717,1,-0.2249,2.3198,10.2308
1777195547752,4,-0.2306,-0.4594,-0.3100
1777195547758,2,21.9750,27.0750,-39.0000
1777195547776,9,0.1443,2.0230,9.5946
1777195547785,1,-0.2312,2.0698,9.6455
1777195547785,1,-0.0338,2.0725,9.5336
1777195547785,1,0.3099,1.8613,9.8300
1777195547785,1,0.4504,1.3573,10.6283
1777195547819,4,-0.3030,-0.3325,-0.4250
1777195547828,2,19.5750,29.7000,-39.8250
1777195547848,5,52846.0195,48578.6523,1596894.0000
1777195547848,9,0.3516,1.6939,9.6528
1777195547851,1,0.6227,1.0011,11.2436
1777195547851,1,0.7307,0.8716,11.2914
1777195547851,1,0.7253,0.8079,10.9534
1777195547888,4,0.0672,0.0116,-0.3290
1777195547899,2,17.6250,29.9250,-39.0000
1777195547915,9,0.3512,1.6246,9.6648
1777195547918,1,0.6523,0.7038,10.6325
1777195547918,1,0.5641,0.6197,10.1530
1777195547918,1,0.4822,0.7307,9.3793
1777195547960,4,-0.1103,-0.0782,-0.1843
1777195547966,2,16.0500,30.6750,-34.2750
1777195547984,9,0.4631,1.5123,9.6783
1777195547984,1,0.5982,0.9808,8.4658
1777195547984,1,0.7274,1.0759,8.1826
1777195547984,1,0.7956,0.9308,8.7126
1777195547984,1,0.9054,0.7331,9.5836
1777195548007,5,56717.2109,52158.3516,1752813.0000
1777195548027,4,-0.0762,-0.5643,-0.1845
1777195548036,2,14.6250,31.4250,-34.0500
1777195548051,1,1.0442,0.5557,10.1270
1777195548051,1,1.2170,0.3945,10.1623
1777195548051,1,1.4465,0.3479,9.9191
1777195548054,9,0.8448,1.3326,9.6789
1777195548097,4,0.0038,-0.0574,-0.0593
1777195548105,2,14.0250,31.3500,-37.9500
1777195548117,1,1.5754,0.3598,9.7385
1777195548117,1,1.6226,0.4786,9.8453
1777195548117,1,1.5592,0.6775,9.7041
1777195548123,9,0.9842,1.2636,9.6750
1777195548165,5,61272.8516,56411.8242,1926514.0000
1777195548166,4,-0.0536,-0.2004,0.0231
1777195548184,2,15.6750,32.0250,-39.7500
1777195548184,1,1.5117,0.7747,9.3141
1777195548184,1,1.4689,0.9221,8.7365
1777195548184,1,1.6564,1.0549,8.7156
